Ticker,Type
ARCC,Alternatives
AGG,Bonds
BND,Bonds
FCO,Bonds
IAF,Bonds
LQD,Bonds
MYD,Bonds
GLD,Commodities
USO,Commodities
ADX,Equity ETF
DIA,Equity ETF
EEM,Equity ETF
EMF,Equity ETF
EWA,Equity ETF
EZU,Equity ETF
NUV,Equity ETF
QQQ,Equity ETF
RVT,Equity ETF
SPY,Equity ETF
XLB,Equity ETF
XLE,Equity ETF
XLI,Equity ETF
XLU,Equity ETF
DRE2,REIT
FRT,REIT
HST,REIT
MAA,REIT
O,REIT
SITC,REIT
SPG,REIT
VNO,REIT
VTR,REIT
WELL,REIT
A,Stock
AAL,Stock
AAPL,Stock
ABBV,Stock
ABC,Stock
ABT,Stock
ADBE,Stock
ADI,Stock
ADM,Stock
ADP,Stock
ADSK,Stock
AEE,Stock
AEP,Stock
AES,Stock
AFL,Stock
AIG,Stock
AIV,Stock
AIZ,Stock
AKAM,Stock
ALL,Stock
AMAT,Stock
AMD,Stock
AMGN,Stock
AMP,Stock
AMT,Stock
AMZN,Stock
AN,Stock
ANF,Stock
APA,Stock
APD,Stock
APH,Stock
AVY,Stock
AXP,Stock
AZO,Stock
BA,Stock
BAC,Stock
BALL,Stock
BAX,Stock
BBBY,Stock
BBY,Stock
BDX,Stock
BEN,Stock
BF.B,Stock
BIIB,Stock
BK,Stock
BKNG,Stock
BKR,Stock
BMY,Stock
BRK.B,Stock
BWA,Stock
C,Stock
CAG,Stock
CAH,Stock
CAT,Stock
CB,Stock
CCL,Stock
CERN2,Stock
CI,Stock
CINF,Stock
CL,Stock
CLX,Stock
CMA,Stock
CMCSA,Stock
CME,Stock
CMI,Stock
CMS,Stock
CNP,Stock
CNX,Stock
COF,Stock
COP,Stock
COST,Stock
CPB,Stock
CR,Stock
CRM,Stock
CSCO,Stock
CTAS,Stock
CTXS1,Stock
CVS,Stock
CVX,Stock
D,Stock
DAL,Stock
DD,Stock
DE,Stock
DHI,Stock
DIS,Stock
DLTR,Stock
DOV,Stock
DTE,Stock
DUK,Stock
DVN,Stock
DXC,Stock
EA,Stock
EBAY,Stock
EIX,Stock
EMR,Stock
ETN,Stock
EXC,Stock
F,Stock
FAST,Stock
FDX,Stock
FHN,Stock
FISV,Stock
FITB,Stock
FL,Stock
FMC,Stock
FOSL,Stock
GE,Stock
GILD,Stock
GIS,Stock
GLW,Stock
GOOGL,Stock
GPS,Stock
GS,Stock
GT,Stock
GWW,Stock
HAL,Stock
HAS,Stock
HBAN,Stock
HD,Stock
HES,Stock
HP,Stock
HPQ,Stock
HSY,Stock
HWM,Stock
IBM,Stock
INTC,Stock
INTU,Stock
IP,Stock
ITT,Stock
JNJ,Stock
JPM,Stock
JWN,Stock
K,Stock
KLAC,Stock
KMB,Stock
KO,Stock
KR,Stock
KSU2,Stock
L,Stock
LEN,Stock
LHX,Stock
LLY,Stock
LMT,Stock
LNC,Stock
LOW,Stock
LRCX,Stock
LUV,Stock
M,Stock
MA,Stock
MAR,Stock
MAT,Stock
MCD,Stock
MCHP,Stock
MCK,Stock
MDLZ,Stock
MMM,Stock
MNST,Stock
MO,Stock
MRK,Stock
MS,Stock
MSFT,Stock
MSI,Stock
MTB,Stock
MU,Stock
NEE,Stock
NEM,Stock
NFLX,Stock
NI,Stock
NKE,Stock
NLOK,Stock
NOC,Stock
NTRS,Stock
NVDA,Stock
ORCL,Stock
ORLY,Stock
PAYX,Stock
PBI,Stock
PCAR,Stock
PCG,Stock
PEG,Stock
PEP,Stock
PFE,Stock
PG,Stock
PNC,Stock
PPG,Stock
QCOM,Stock
R,Stock
RCL,Stock
ROST,Stock
RTX,Stock
SBUX,Stock
SCHW,Stock
SHW,Stock
SLB,Stock
SO,Stock
SPGI,Stock
STT,Stock
T,Stock
TFC,Stock
TGT,Stock
TMO,Stock
TROW,Stock
TRV,Stock
TXN,Stock
TXT,Stock
UAL,Stock
UNH,Stock
UNM,Stock
UNP,Stock
UPS,Stock
USB,Stock
V,Stock
VFC,Stock
VRSN,Stock
VZ,Stock
WBA,Stock
WFC,Stock
WHR,Stock
WMB,Stock
WMT,Stock
X,Stock
XOM,Stock
XRX,Stock
